"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"204",0,25,24,0,51,0,25,24,0,51,1.30109e-12,1.30109e-12,1.27338e-12,2.1297527457747
"205",23,7,6,25,39,23,7,6,25,39,2.08176e-12,2.08176e-12,2.09005e-12,0.39822073630007
"206",4,15,51,23,7,4,15,51,23,7,1.95687e-12,1.95687e-12,1.94424e-12,0.645418448849444
"208",40,36,14,10,0,40,36,14,10,0,1.84922e-12,1.84922e-12,1.79089e-12,3.15430289527476
"209",4,16,29,28,23,4,16,29,28,23,2.03802e-12,2.03802e-12,1.246e-12,38.8622290262117
"211",23,24,19,34,0,23,24,19,34,0,1.9026e-12,1.9026e-12,1.90627e-12,0.19289393461579
"212",19,68,0,0,13,19,68,0,0,13,1.97075e-12,1.97075e-12,1.76791e-12,10.2925282252949
"213",18,0,5,19,58,18,0,5,19,58,2.11426e-12,2.11426e-12,2.11997e-12,0.270070852213067
"215",46,13,17,24,0,46,13,17,24,0,1.88588e-12,1.88588e-12,1.94411e-12,3.08768320359725
"216",10,40,0,21,29,10,40,0,21,29,2.05418e-12,2.05418e-12,2.02515e-12,1.41321597912548
"218",21,6,15,0,58,21,6,15,0,58,2.11106e-12,2.11106e-12,2.10179e-12,0.439115894384812
"219",1,12,27,32,28,1,12,27,32,28,2.05539e-12,2.05539e-12,1.25735e-12,38.8266946905454
"220",30,1,0,59,10,30,1,0,59,10,1.99328e-12,1.99328e-12,1.96999e-12,1.16842591106117
"222",13,50,2,0,35,13,50,2,0,35,2.06313e-12,2.06313e-12,1.28425e-12,37.7523471618366
"223",0,29,33,0,38,0,29,33,0,38,1.27338e-12,1.27338e-12,2.04293e-12,60.4336490285696
"224",0,16,17,24,43,0,16,17,24,43,1.29153e-12,1.29153e-12,1.27779e-12,1.06385449815336
"225",0,33,19,48,0,0,33,19,48,0,1.11887e-12,1.11887e-12,1.10636e-12,1.11809236104284
"227",5,18,46,26,5,5,18,46,26,5,1.94424e-12,1.94424e-12,1.95687e-12,0.64961115911617
"228",0,0,79,21,0,0,0,79,21,0,1.60391e-12,1.60391e-12,1.59133e-12,0.784333285533478
"230",26,4,21,19,30,26,4,21,19,30,2.05711e-12,2.05711e-12,2.03168e-12,1.23620030042145
"231",26,38,15,17,4,26,38,15,17,4,1.92217e-12,1.92217e-12,1.84922e-12,3.79518981151511
"232",22,28,5,44,1,22,28,5,44,1,1.92329e-12,1.92329e-12,1.94621e-12,1.19170795875818
"233",34,3,0,28,35,34,3,0,28,35,2.07281e-12,2.07281e-12,2.05727e-12,0.74970691959223
"234",12,19,12,43,14,12,19,12,43,14,2.00718e-12,2.00718e-12,1.98637e-12,1.03677796709811
"235",35,15,1,37,12,35,15,1,37,12,1.99404e-12,1.99404e-12,1.91643e-12,3.89209845339109
"236",20,80,0,0,0,20,80,0,0,0,1.76823e-12,1.76823e-12,1.76791e-12,0.0180971932384311
"237",13,24,20,32,11,13,24,20,32,11,1.98702e-12,1.98702e-12,1.99049e-12,0.174633370575017
"238",0,1,0,99,0,0,1,0,99,0,1.14085e-12,1.14085e-12,1.13939e-12,0.127974755664628
"239",12,4,36,40,8,12,4,36,40,8,1.97504e-12,1.97504e-12,1.96183e-12,0.668847213221002
"240",0,13,28,45,14,0,13,28,45,14,1.20943e-12,1.20943e-12,1.96108e-12,62.1491115649521
"241",21,37,0,10,32,21,37,0,10,32,2.05881e-12,2.05881e-12,2.07893e-12,0.977263564874842
"242",9,0,76,0,15,9,0,76,0,15,1.98795e-12,1.98795e-12,1.9183e-12,3.50360924570536
"243",58,0,22,20,0,58,0,22,20,0,1.8784e-12,1.8784e-12,1.94411e-12,3.49818994889266
"244",27,15,22,36,0,27,15,22,36,0,1.90556e-12,1.90556e-12,1.90627e-12,0.037259388316313
"246",0,0,44,56,0,0,0,44,56,0,1.73654e-12,1.73654e-12,1.73427e-12,0.130719707003579
"247",30,7,29,21,13,30,7,29,21,13,1.99126e-12,1.99126e-12,1.94438e-12,2.35428823960709
"248",45,42,0,13,0,45,42,0,13,0,1.85371e-12,1.85371e-12,1.83463e-12,1.02928721321028
"249",34,2,5,30,29,34,2,5,30,29,2.05727e-12,2.05727e-12,2.07281e-12,0.755369980605347
"250",53,0,0,14,33,53,0,0,14,33,2.06311e-12,2.06311e-12,2.0574e-12,0.27676662902123
"251",0,43,57,0,0,0,43,57,0,0,1.01797e-12,1.01797e-12,1.01557e-12,0.235763332907635
"252",46,40,14,0,0,46,40,14,0,0,1.79089e-12,1.79089e-12,1.87277e-12,4.57202843279039
"253",0,46,17,37,0,0,46,17,37,0,1.10636e-12,1.10636e-12,1.10837e-12,0.18167685021151
"254",28,2,5,53,12,28,2,5,53,12,2.00129e-12,2.00129e-12,1.99328e-12,0.400241844010596
"255",19,7,35,27,12,19,7,35,27,12,1.99003e-12,1.99003e-12,1.96183e-12,1.41706406436085
"256",46,10,0,22,22,46,10,0,22,22,2.03064e-12,2.03064e-12,2.0574e-12,1.31781113343576
"257",0,53,0,28,19,0,53,0,28,19,1.22263e-12,1.22263e-12,1.23272e-12,0.825270114425458
"258",37,9,0,17,37,37,9,0,17,37,2.07469e-12,2.07469e-12,2.09192e-12,0.830485518318391
"259",59,31,10,0,0,59,31,10,0,0,1.78372e-12,1.78372e-12,1.76002e-12,1.32868387415065
"260",28,10,29,6,27,28,10,29,6,27,2.04229e-12,2.04229e-12,2.03168e-12,0.519514858320813
"262",41,0,21,0,38,41,0,21,0,38,2.0719e-12,2.0719e-12,2.07254e-12,0.0308895216950544
"263",49,5,0,46,0,49,5,0,46,0,1.91429e-12,1.91429e-12,1.91311e-12,0.0616416530410668
"264",29,0,0,71,0,29,0,0,71,0,1.93282e-12,1.93282e-12,1.99328e-12,3.12807193634173
"265",24,34,0,1,41,24,34,0,1,41,2.07893e-12,2.07893e-12,2.06893e-12,0.481016676848178
"266",70,0,24,0,6,70,0,24,0,6,1.91647e-12,1.91647e-12,2.02231e-12,5.52265362880715
"267",43,19,38,0,0,43,19,38,0,0,1.8114e-12,1.8114e-12,1.82972e-12,1.01137241912332
"268",44,30,14,0,12,44,30,14,0,12,1.96569e-12,1.96569e-12,1.99951e-12,1.72051544241463
"269",0,0,68,9,23,0,0,68,9,23,1.9575e-12,1.9575e-12,1.9183e-12,2.00255427841635
"270",0,0,7,53,40,0,0,7,53,40,2.09962e-12,2.09962e-12,2.06743e-12,1.53313456720741
"271",0,24,54,22,0,0,24,54,22,0,1.08686e-12,1.08686e-12,1.95687e-12,80.0480282649099
"272",15,27,17,29,12,15,27,17,29,12,1.99049e-12,1.99049e-12,1.98702e-12,0.174328934081547
"273",42,49,6,0,3,42,49,6,0,3,1.87279e-12,1.87279e-12,1.87277e-12,0.00106792539474876
"274",35,35,30,0,0,35,35,30,0,0,1.80669e-12,1.80669e-12,1.81168e-12,0.276195694889547
"275",19,13,0,20,48,19,13,0,20,48,2.09874e-12,2.09874e-12,2.08176e-12,0.80905686268905
"276",45,33,4,0,18,45,33,4,0,18,1.99951e-12,1.99951e-12,2.00158e-12,0.103525363714119
"277",31,0,0,14,55,31,0,0,14,55,2.10909e-12,2.10909e-12,2.11997e-12,0.515862291319946
"278",52,46,2,0,0,52,46,2,0,0,1.7692e-12,1.7692e-12,1.76309e-12,0.345353832240569
"280",13,0,49,2,36,13,0,49,2,36,2.06821e-12,2.06821e-12,2.04223e-12,1.25615870728796
