"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"199",0,6,0,2,92,0,6,0,2,92,4.38878e-12,4.38878e-12,5.66275e-12,29.0278847424569
"200",25,19,26,16,14,25,19,26,16,14,4.31934e-12,4.31934e-12,3.36225e-12,22.1582463987554
"201",3,12,6,25,54,3,12,6,25,54,4.78985e-12,4.78985e-12,4.86392e-12,1.54639498105369
"202",33,24,15,2,26,33,24,15,2,26,4.47946e-12,4.47946e-12,4.48606e-12,0.147339188205708
"203",22,12,30,36,0,22,12,30,36,0,3.96806e-12,3.96806e-12,3.95829e-12,0.246216035039792
"204",0,25,24,0,51,0,25,24,0,51,4.199e-12,4.199e-12,4.06736e-12,3.13503215051204
"205",23,7,6,25,39,23,7,6,25,39,4.68741e-12,4.68741e-12,4.71801e-12,0.652812534000669
"206",4,15,51,23,7,4,15,51,23,7,4.17369e-12,4.17369e-12,4.12154e-12,1.24949385316112
"207",19,11,33,30,7,19,11,33,30,7,4.20047e-12,4.20047e-12,4.32016e-12,2.84944303851711
"208",40,36,14,10,0,40,36,14,10,0,3.59317e-12,3.59317e-12,3.15684e-12,12.1433163474035
"209",4,16,29,28,23,4,16,29,28,23,4.52002e-12,4.52002e-12,3.95775e-12,12.4395467276693
"211",23,24,19,34,0,23,24,19,34,0,3.94408e-12,3.94408e-12,3.96511e-12,0.533204194641068
"212",19,68,0,0,13,19,68,0,0,13,4.16071e-12,4.16071e-12,2.94647e-12,29.1834807040145
"213",0,0,0,37,63,0,0,0,37,63,5.1522e-12,5.1522e-12,4.82216e-12,6.40580722798029
"215",46,13,17,24,0,46,13,17,24,0,3.83805e-12,3.83805e-12,4.11326e-12,7.17056838759265
"216",10,40,0,21,29,10,40,0,21,29,4.57594e-12,4.57594e-12,3.93786e-12,13.9442387793546
"218",21,6,15,0,58,21,6,15,0,58,4.78478e-12,4.78478e-12,5.66275e-12,18.3492239977596
"219",1,12,27,32,28,1,12,27,32,28,4.59119e-12,4.59119e-12,4.01576e-12,12.5333519196548
"220",30,1,0,59,10,30,1,0,59,10,4.35195e-12,4.35195e-12,4.38225e-12,0.696239616723537
"222",13,50,2,0,35,13,50,2,0,35,4.58969e-12,4.58969e-12,4.11203e-12,10.4072388331238
"223",0,29,33,0,38,0,29,33,0,38,4.06736e-12,4.06736e-12,4.51321e-12,10.9616557177137
"224",0,16,17,24,43,0,16,17,24,43,4.16935e-12,4.16935e-12,4.78985e-12,14.8824157242736
"225",0,33,19,48,0,0,33,19,48,0,3.35594e-12,3.35594e-12,4.30955e-12,28.4155854991448
"227",5,18,46,26,5,5,18,46,26,5,4.12154e-12,4.12154e-12,4.17369e-12,1.2653037456873
"228",0,0,79,21,0,0,0,79,21,0,3.51114e-12,3.51114e-12,3.4826e-12,0.812841413330134
"229",18,0,5,19,58,18,0,5,19,58,4.80495e-12,4.80495e-12,4.82364e-12,0.388973870695852
"230",26,4,21,19,30,26,4,21,19,30,4.58976e-12,4.58976e-12,4.61688e-12,0.590880568918628
"231",26,38,15,17,4,26,38,15,17,4,3.98834e-12,3.98834e-12,3.38801e-12,15.0521269500594
"232",22,28,5,44,1,22,28,5,44,1,4.04604e-12,4.04604e-12,4.11627e-12,1.73577127265176
"233",34,3,0,28,35,34,3,0,28,35,4.65386e-12,4.65386e-12,4.59482e-12,1.26862432475408
"235",35,15,1,37,12,35,15,1,37,12,4.3387e-12,4.3387e-12,4.01932e-12,7.36119114020327
"236",20,80,0,0,0,20,80,0,0,0,2.94647e-12,2.94647e-12,2.9416e-12,0.165282524512389
"237",13,24,20,32,11,13,24,20,32,11,4.30955e-12,4.30955e-12,3.35594e-12,22.1278323722895
"238",0,1,0,99,0,0,1,0,99,0,3.51981e-12,3.51981e-12,4.34062e-12,23.3197246442279
"239",12,4,36,40,8,12,4,36,40,8,4.26873e-12,4.26873e-12,3.81129e-12,10.7160677765987
"240",0,13,28,45,14,0,13,28,45,14,3.7983e-12,3.7983e-12,3.42368e-12,9.86283337282469
"241",21,37,0,10,32,21,37,0,10,32,4.58337e-12,4.58337e-12,4.65553e-12,1.57438740490077
"242",9,0,76,0,15,9,0,76,0,15,4.27766e-12,4.27766e-12,4.19668e-12,1.89309108250773
"243",58,0,22,20,0,58,0,22,20,0,3.79162e-12,3.79162e-12,4.11326e-12,8.48291759195277
"244",27,15,22,36,0,27,15,22,36,0,3.96168e-12,3.96168e-12,3.96511e-12,0.0865794309484968
"245",12,19,12,43,14,12,19,12,43,14,4.40138e-12,4.40138e-12,3.49095e-12,20.6851033085078
"246",0,0,44,56,0,0,0,44,56,0,3.8161e-12,3.8161e-12,3.81129e-12,0.126044914965551
"247",30,7,29,21,13,30,7,29,21,13,4.31758e-12,4.31758e-12,3.77411e-12,12.5873753352572
"248",45,42,0,13,0,45,42,0,13,0,3.60411e-12,3.60411e-12,3.46078e-12,3.97684865334299
"249",34,2,5,30,29,34,2,5,30,29,4.59482e-12,4.59482e-12,4.65386e-12,1.28492519837557
"250",53,0,0,14,33,53,0,0,14,33,4.60372e-12,4.60372e-12,4.58844e-12,0.33190550250668
"251",0,43,57,0,0,0,43,57,0,0,2.72714e-12,2.72714e-12,2.70635e-12,0.762337100405552
"252",46,40,14,0,0,46,40,14,0,0,3.15684e-12,3.15684e-12,3.59317e-12,13.8217331255306
"253",0,46,17,37,0,0,46,17,37,0,3.25635e-12,3.25635e-12,3.24339e-12,0.3979916163803
"254",28,2,5,53,12,28,2,5,53,12,4.38225e-12,4.38225e-12,4.35195e-12,0.691425637514975
"255",19,7,35,27,12,19,7,35,27,12,4.32016e-12,4.32016e-12,4.4273e-12,2.48000074071331
"256",46,10,0,22,22,46,10,0,22,22,4.47919e-12,4.47919e-12,4.47463e-12,0.101804120834337
"257",0,53,0,28,19,0,53,0,28,19,3.8381e-12,3.8381e-12,4.46253e-12,16.2692478049035
"258",37,9,0,17,37,37,9,0,17,37,4.65367e-12,4.65367e-12,4.5516e-12,2.19332268940428
"259",59,31,10,0,0,59,31,10,0,0,3.0761e-12,3.0761e-12,2.82929e-12,8.02347127856703
"260",28,10,29,6,27,28,10,29,6,27,4.51697e-12,4.51697e-12,4.63207e-12,2.54816835179335
"262",41,0,21,0,38,41,0,21,0,38,4.62976e-12,4.62976e-12,4.63361e-12,0.0831576582803528
"264",29,0,0,71,0,29,0,0,71,0,4.11526e-12,4.11526e-12,4.35195e-12,5.7515199525668
"265",24,34,0,1,41,24,34,0,1,41,4.65553e-12,4.65553e-12,4.6156e-12,0.857689672282202
"266",70,0,24,0,6,70,0,24,0,6,3.88847e-12,3.88847e-12,4.37441e-12,12.4969460996227
"267",43,19,38,0,0,43,19,38,0,0,3.36225e-12,3.36225e-12,4.31934e-12,28.465759536025
"268",44,30,14,0,12,44,30,14,0,12,4.14387e-12,4.14387e-12,3.0761e-12,25.7674589212499
"269",0,0,68,9,23,0,0,68,9,23,4.27727e-12,4.27727e-12,4.19668e-12,1.88414572846698
"270",0,0,7,53,40,0,0,7,53,40,4.57296e-12,4.57296e-12,5.0965e-12,11.4486022182569
"271",0,24,54,22,0,0,24,54,22,0,3.1292e-12,3.1292e-12,4.12154e-12,31.7122587242746
"272",15,27,17,29,12,15,27,17,29,12,4.32085e-12,4.32085e-12,3.37048e-12,21.9949778400083
"273",42,49,6,0,3,42,49,6,0,3,3.61022e-12,3.61022e-12,3.60964e-12,0.0160655029333379
"274",35,35,30,0,0,35,35,30,0,0,3.31822e-12,3.31822e-12,3.36992e-12,1.55806426337011
