"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"200",25,19,26,16,14,25,19,26,16,14,4.31934e-12,4.31934e-12,3.96982178027289e-12,8.09193579868944
"201",3,12,6,25,54,3,12,6,25,54,4.78985e-12,4.78985e-12,4.85490797473713e-12,1.35824659931163
"202",33,24,15,2,26,33,24,15,2,26,4.47946e-12,4.47946e-12,4.16172968997219e-12,7.09304938603781
"203",22,12,30,36,0,22,12,30,36,0,3.96806e-12,3.96806e-12,3.81600801188346e-12,3.83189740368178
"204",0,25,24,0,51,0,25,24,0,51,4.199e-12,4.199e-12,4.51835092136072e-12,7.60540417624969
"205",23,7,6,25,39,23,7,6,25,39,4.68741e-12,4.68741e-12,4.65593732050957e-12,0.671430053919575
"206",4,15,51,23,7,4,15,51,23,7,4.17369e-12,4.17369e-12,3.75910561854766e-12,9.93328161536542
"207",19,11,33,30,7,19,11,33,30,7,4.20047e-12,4.20047e-12,3.91907414148793e-12,6.6991517261656
"208",40,36,14,10,0,40,36,14,10,0,3.59317e-12,3.59317e-12,3.60702567953552e-12,0.385611577952649
"209",4,16,29,28,23,4,16,29,28,23,4.52002e-12,4.52002e-12,4.1554689670788e-12,8.06525265200597
"211",23,24,19,34,0,23,24,19,34,0,3.94408e-12,3.94408e-12,3.74541900838989e-12,5.03694122862904
"212",19,68,0,0,13,19,68,0,0,13,4.16071e-12,4.16071e-12,3.54211072490172e-12,14.8676373767525
"213",0,0,0,37,63,0,0,0,37,63,5.1522e-12,5.1522e-12,5.19242221528021e-12,0.780680394398781
"215",46,13,17,24,0,46,13,17,24,0,3.83805e-12,3.83805e-12,3.86343250460168e-12,0.661338559989688
"216",10,40,0,21,29,10,40,0,21,29,4.57594e-12,4.57594e-12,4.15249771886994e-12,9.25366768642211
"218",21,6,15,0,58,21,6,15,0,58,4.78478e-12,4.78478e-12,4.89886559385509e-12,2.38434356135677
"219",1,12,27,32,28,1,12,27,32,28,4.59119e-12,4.59119e-12,4.3018433856677e-12,6.30221389949662
"220",30,1,0,59,10,30,1,0,59,10,4.35195e-12,4.35195e-12,4.31648742083909e-12,0.814866419901672
"222",13,50,2,0,35,13,50,2,0,35,4.58969e-12,4.58969e-12,4.10113641521711e-12,10.6445878650386
"223",0,29,33,0,38,0,29,33,0,38,4.06736e-12,4.06736e-12,4.2013828851372e-12,3.29508293185752
"224",0,16,17,24,43,0,16,17,24,43,4.16935e-12,4.16935e-12,4.55859931673871e-12,9.33597123625301
"225",0,33,19,48,0,0,33,19,48,0,3.35594e-12,3.35594e-12,3.66708499788139e-12,9.27147082133133
"227",5,18,46,26,5,5,18,46,26,5,4.12154e-12,4.12154e-12,3.72597195674022e-12,9.59757865408988
"228",0,0,79,21,0,0,0,79,21,0,3.51114e-12,3.51114e-12,3.63856706434103e-12,3.62922197181068
"229",18,0,5,19,58,18,0,5,19,58,4.80495e-12,4.80495e-12,5.0517387024215e-12,5.1361346615781
"230",26,4,21,19,30,26,4,21,19,30,4.58976e-12,4.58976e-12,4.43970194592965e-12,3.26940960029177
"231",26,38,15,17,4,26,38,15,17,4,3.98834e-12,3.98834e-12,3.65726021936381e-12,8.30119249201892
"232",22,28,5,44,1,22,28,5,44,1,4.04604e-12,4.04604e-12,3.81523283046256e-12,5.7045202108097
"233",34,3,0,28,35,34,3,0,28,35,4.65386e-12,4.65386e-12,4.67187036464062e-12,0.386998419389961
"235",35,15,1,37,12,35,15,1,37,12,4.3387e-12,4.3387e-12,4.15772619406941e-12,4.17115278610171
"236",20,80,0,0,0,20,80,0,0,0,2.94647e-12,2.94647e-12,3.18983333738832e-12,8.25948804462031
