"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"256",46,10,0,22,22,46,10,0,22,22,2.03064e-12,2.03064e-12,2.07505776876609e-12,2.18737781025122
"257",0,53,0,28,19,0,53,0,28,19,1.22263e-12,1.22263e-12,1.50047214153341e-12,22.7249569807227
"258",37,9,0,17,37,37,9,0,17,37,2.07469e-12,2.07469e-12,2.08674984302357e-12,0.581284096591328
"259",59,31,10,0,0,59,31,10,0,0,1.78372e-12,1.78372e-12,1.97094597339355e-12,10.4963768637204
"260",28,10,29,6,27,28,10,29,6,27,2.04229e-12,2.04229e-12,1.94611832379766e-12,4.70901175652515
"262",41,0,21,0,38,41,0,21,0,38,2.0719e-12,2.0719e-12,2.1567465128584e-12,4.09510656201548
"263",49,5,0,46,0,49,5,0,46,0,1.91429e-12,1.91429e-12,2.00159726111078e-12,4.56081686216698
"264",29,0,0,71,0,29,0,0,71,0,1.93282e-12,1.93282e-12,1.85878838816277e-12,3.83023829623216
"265",24,34,0,1,41,24,34,0,1,41,2.07893e-12,2.07893e-12,1.89642728859254e-12,8.77868477569986
"266",70,0,24,0,6,70,0,24,0,6,1.91647e-12,1.91647e-12,2.22023213415721e-12,15.8500855300217
"267",43,19,38,0,0,43,19,38,0,0,1.8114e-12,1.8114e-12,1.88222923351732e-12,3.91019286283116
